year,partner_share1,partner_share2,partner_share3
2015,18.970825,27.038771,53.990406
2016,18.147797,29.082073,52.770126
2017,18.888205,29.40756,51.704235
2018,17.546255,27.789948,54.663795
2019,22.698112,30.645643,46.656246
2020,18.844599,40.112736,41.042667
2021,15.754357,41.786865,42.458782
2022,18.78233,34.938396,46.27927
2023,31.859774,26.192915,41.947311
2024,28.187574,26.05829,45.754139
