sector,specialization_index,sector_china
Energy,1.5472685,9303.0244
Metals_Minerals,1.1227423,12397.013
Agriculture,1.0329486,1657.1705
Chemicals,.63043869,2717.4507
Textiles,.43937936,98.438202
Machinery_Electrical,.17234693,422.86331
Plastics_Rubber,.13837546,79.024193
Other,.08742027,61.781902
Wood_Paper,.022100698,1.3839997
Vehicles,.020139707,7.11761
