sector,export_valuePre2023,export_valuePost2023,export_change_bn,import_valuePre2023,import_valuePost2023,import_change_bn
Metals_Minerals,6082.503660960025,14993.56208401227,8.9110584,840.1106102868281,2260.049325633468,1.4199387
Machinery_Electrical,28.98157342641412,634.2949919600335,.60531342,4414.135894323032,12054.43515442841,7.6402993
Vehicles,8.868651149056678,10.6764148506918,.0018077637,433.2131461285055,4470.170158728957,4.0369568
Textiles,68.35988928700375,134.0038231246347,.065643936,929.603782033807,4874.698508593054,3.9450948
Energy,4992.587629151299,8587.417940040072,3.5948303,45.2307288860066,51.64399870092166,.0064132698
