sector,china_penetration,total_imports,chn_imports
Textiles,89.575432,7197.1538,6446.8813
Vehicles,84.397247,5112.6982,4314.9766
Machinery_Electrical,77.192245,15440.105,11918.564
Other,57.198467,7012.1069,4010.8176
Plastics_Rubber,44.958866,3623.5278,1629.097
Stone_Ceramics,37.627533,1269.1454,477.5481
Chemicals,30.238098,4802.4072,1452.1566
Wood_Paper,29.139494,1893.8667,551.86316
Metals_Minerals,21.414701,9941.5107,2128.9448
Agriculture,8.4976654,6727.605,571.68933
