year,world_share1,world_share2
2015,9.4071198,13.407796
2016,8.8312187,14.152139
2017,9.2834721,14.453691
2018,8.6790047,13.745902
2019,11.351625,15.32629
2020,9.3405981,19.88246
2021,7.7650084,20.595911
2022,9.3477812,17.388498
2023,17.046101,14.014132
2024,14.972413,13.8414
