Sector,Total_Imports,China_Imports,China_Share_Pct
Vehicles,5427.012,4625.364,85.228546
Machinery & Electrical,15760.889,12190.305,77.34529
Textiles,4830.6777,3302.5156,68.36547
Plastics & Rubber,3959.669,1666.4778,42.086292
Chemicals,4976.501,1091.5623,21.934332
Metals & Minerals,10942.692,2391.1538,21.851603
Energy,3604.4053,62.298046,1.7283863
