Sector,export_value,import_value,net_balance,export_share,import_share
Machinery & Electrical,634.2949919600335,12054.435154428415,-11420.141,2.1372905,37.87728
Textiles,134.00382312463466,4874.698508593054,-4740.695,0.45165688,15.0581875
Vehicles,10.676414850691799,4470.170158728957,-4459.494,0.03591006,14.062792
Metals & Minerals,14993.562084012274,2260.0493256334685,12733.513,50.53678,7.1183114
Plastics & Rubber,118.52272100182927,1647.78737664238,-1529.2646,0.39908707,5.1776733
Chemicals,3195.432853274562,1271.8594076877362,1923.5735,10.765624,3.9654355
Energy,8587.417940040072,51.64399870092166,8535.774,28.9893,0.16387843
