Period,Exports,Imports,Balance,Total_Trade
Pre-2023 (2015-2022),13488.700817174635,8393.087191860299,5095.613625314336,21881.788009034935
Post-2023 (2023-2024),29656.162805329266,31925.195162161053,-2269.032356831787,61581.357967490316
