"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H4","All","24","All countries  All --- All  ","WLD"," World",2025,"Import",5,23919852.088
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2014,"Export",6,43872977.654
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2014,"Import",5,53376533.356
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2015,"Export",6,41342380.958
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2015,"Import",5,51146895.412
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2016,"Export",6,37564614.234
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2016,"Import",5,46110172.73
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2017,"Export",6,41436522.775
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2017,"Import",5,52404013.738
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2018,"Export",6,46814758.337
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2018,"Import",5,57751463.298
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2019,"Export",6,44295556.723
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2019,"Import",5,54691008.536
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2020,"Export",6,40695223.28
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2020,"Import",5,48810412.36
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2021,"Export",6,50699151.305
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2021,"Import",5,63752867.077
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2022,"Export",6,62795236.98
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2022,"Import",5,79435628.034
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2023,"Export",6,63138520.052
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2023,"Import",5,78782594.413
"H4","All","25","All countries  All --- All  ","All","All countries  All --- All  ",2024,"Export",6,48655180.158
